gamma1,delta2,epsilon1,zeta2,eta2,eta3,theta1,kappa2,lambda1,lambda2,lambda3
0.001,1,0.005,4,0.9,0.43,0.1,0.96,0.6,0.5,0.3
0.002,2,0.005,4,0.9,0.43,0.1,0.96,0.6,0.5,0.3
0.003,3,0.005,4,0.9,0.43,0.1,0.96,0.6,0.5,0.3
0.004,4,0.005,4,0.9,0.43,0.1,0.96,0.6,0.5,0.3
0.005,5,0.005,4,0.9,0.43,0.1,0.96,0.6,0.5,0.3
0.005,4,0.001,1,0.43,0.6,0.1,0.96,0.6,0.5,0.3
0.005,4,0.002,2,0.43,0.6,0.1,0.96,0.6,0.5,0.3
0.005,4,0.003,3,0.43,0.6,0.1,0.96,0.6,0.5,0.3
0.005,4,0.004,4,0.43,0.6,0.1,0.96,0.6,0.5,0.3
0.005,4,0.005,5,0.43,0.6,0.1,0.96,0.6,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.01,1.3,0.21,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.02,1.3,0.21,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.03,1.3,0.21,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.04,1.3,0.21,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.05,1.3,0.21,0.5,0.3
0.005,4,0.005,4,0.6,0.43,0.1,0.96,0.21,0.5,0.5
0.005,4,0.005,4,0.6,0.43,0.1,0.96,0.21,0.5,1
0.005,4,0.005,4,0.6,0.43,0.1,0.96,0.21,0.5,1.5
0.005,4,0.005,4,0.6,0.43,0.1,0.96,0.21,0.5,2
0.005,4,0.005,4,0.6,0.43,0.1,0.96,0.21,0.5,2.5
