name,parameter,value,description
relapse,nTime,8064,relapse
relapse,alpha,0,relapse
relapse,beta1,0.9641552,relapse
relapse,beta2,0.165831,relapse
relapse,beta3,0.5782848,relapse
relapse,gamma1,0.05195852,relapse
relapse,delta1,0.9818939,relapse
relapse,delta2,1.893452,relapse
relapse,epsilon1,0.1542405,relapse
relapse,zeta1,0.6062524,relapse
relapse,zeta2,1.376948,relapse
relapse,eta1,0.5619752,relapse
relapse,eta2,0.3450918,relapse
relapse,eta3,0.4691787,relapse
relapse,eta4,0.5724308,relapse
relapse,eta5,0.5751693,relapse
relapse,theta1,0.1242499,relapse
relapse,iota1,1.012367,relapse
relapse,iota2,0.3011236,relapse
relapse,kappa1,0.9487494,relapse
relapse,kappa2,1.068343,relapse
relapse,lambda1,0.5981873,relapse
relapse,lambda2,0.3153794,relapse
relapse,lambda3,0.2700128,relapse
relapse,str_scenario,0,relapse
relapse,NW_init,8,relapse
relapse,ES_init,3,relapse
relapse,CR_init,3,relapse
relapse,St_init,0,relapse
relapse,SE_init,6,relapse
prolapse,nTime,8064,prolapse
prolapse,alpha,0,prolapse
prolapse,beta1,0.938218,prolapse
prolapse,beta2,0.1322832,prolapse
prolapse,beta3,0.3960458,prolapse
prolapse,gamma1,0.02915516,prolapse
prolapse,delta1,0.9073435,prolapse
prolapse,delta2,1.957214,prolapse
prolapse,epsilon1,0.06629379,prolapse
prolapse,zeta1,0.5850809,prolapse
prolapse,zeta2,1.039356,prolapse
prolapse,eta1,0.5358558,prolapse
prolapse,eta2,0.5566874,prolapse
prolapse,eta3,0.3768306,prolapse
prolapse,eta4,0.2402799,prolapse
prolapse,eta5,0.5924684,prolapse
prolapse,theta1,0.2985722,prolapse
prolapse,iota1,1.103814,prolapse
prolapse,iota2,0.5159659,prolapse
prolapse,kappa1,0.9224591,prolapse
prolapse,kappa2,0.9345503,prolapse
prolapse,lambda1,0.5835886,prolapse
prolapse,lambda2,0.2387146,prolapse
prolapse,lambda3,0.1165229,prolapse
prolapse,str_scenario,0,prolapse
prolapse,NW_init,8,prolapse
prolapse,ES_init,3,prolapse
prolapse,CR_init,3,prolapse
prolapse,St_init,0,prolapse
prolapse,SE_init,6,prolapse
abstinent,nTime,8064,abstinent
abstinent,alpha,0,abstinent
abstinent,beta1,0.9903011,abstinent
abstinent,beta2,0.1514266,abstinent
abstinent,beta3,0.0406422,abstinent
abstinent,gamma1,0.1164307,abstinent
abstinent,delta1,0.9745943,abstinent
abstinent,delta2,2.442981,abstinent
abstinent,epsilon1,0.1016327,abstinent
abstinent,zeta1,0.2453697,abstinent
abstinent,zeta2,2.727626,abstinent
abstinent,eta1,0.54383,abstinent
abstinent,eta2,0.4049504,abstinent
abstinent,eta3,0.5551544,abstinent
abstinent,eta4,0.4710104,abstinent
abstinent,eta5,0.3389157,abstinent
abstinent,theta1,0.1159531,abstinent
abstinent,iota1,1.194068,abstinent
abstinent,iota2,0.5240505,abstinent
abstinent,kappa1,0.9819166,abstinent
abstinent,kappa2,1.15004,abstinent
abstinent,lambda1,0.3390391,abstinent
abstinent,lambda2,0.4969108,abstinent
abstinent,lambda3,0.2327931,abstinent
abstinent,str_scenario,0,abstinent
abstinent,NW_init,8,abstinent
abstinent,ES_init,3,abstinent
abstinent,CR_init,3,abstinent
abstinent,St_init,0,abstinent
abstinent,SE_init,6,abstinent
